Transaction_ID,Customer_ID,Transaction_Date,Description,Amount,Classification_Tag,Transaction_Time,Status
TXN795097,CUST0136,17/02/2024,E-wallet top-up,2921.24,Pre-Funding,05:04:04,Completed
TXN825582,CUST0133,29/02/2024,Money transfer via mobile,601.64,Transfers,20:28:17,Refunded
TXN654812,CUST0040,24/01/2024,POS cash withdrawal,136.21,Withdrawals,01:04:19,Completed
TXN283765,CUST0003,24/01/2024,Online purchase - electronics,3362.72,Card_Payments,06:54:40,Completed
TXN749095,CUST0037,28/02/2024,Bank transfer to savings,1304.69,Transfers,08:46:14,Completed
TXN182773,CUST0182,03/01/2024,Electricity bill payment,4438.55,Bill_Payments,02:04:22,Pending
TXN544045,CUST0173,27/01/2024,Bank transfer to savings,2249.63,Transfers,11:29:36,Completed
TXN771938,CUST0200,14/02/2024,Bank transfer to savings,296.48,Transfers,16:22:08,Cancelled
TXN591672,CUST0075,01/03/2024,ATM withdrawal,4224.59,Withdrawals,07:13:08,Completed
TXN335136,CUST0159,02/02/2024,Salary deposit,1346.93,Pre Funding,23:21:41,Completed
TXN438291,CUST0069,03/01/2024,Account pre-funding deposit,878.56,Pre-funding,17:29:03,Completed
TXN187512,CUST0094,01/03/2024,Bank transfer to savings,4268.57,Transfers,04:07:21,Completed
TXN627807,CUST0138,09/02/2024,Electricity bill payment,3208.74,Bill_Payments,02:06:27,Completed
TXN372317,CUST0123,25/02/2024,Grocery store card payment,7528.85,Card_Payments,04:55:20,Completed
TXN693289,CUST0186,26/01/2024,Water bill settlement,1134.71,Bill_Payments,15:12:40,Completed
TXN263842,CUST0038,14/01/2024,Wire transfer received,423.83,Transfers,16:18:50,Chargeback
TXN905803,CUST0105,08/01/2024,Restaurant bill payment,3269.85,Card_Payments,12:04:30,Completed
TXN701286,CUST0034,23/02/2024,Cash withdrawal at branch,18.71,Withdrawals,06:31:33,Pending
TXN477610,CUST0124,16/01/2024,Wire transfer received,15754.63,Transfers,21:09:38,Completed
TXN895200,CUST0105,01/02/2024,Bank transfer to savings,2262.47,Transfers,12:09:27,Completed
TXN249139,CUST0076,12/01/2024,Electricity bill payment,3969.56,Bill_Payments,17:56:10,Completed
TXN339263,CUST0141,01/03/2024,E-wallet top-up,485.72,Pre-Funding,07:02:16,Completed
TXN946823,CUST0107,26/02/2024,Online purchase - electronics,3299.32,Card_Payments,01:47:45,Completed
TXN586803,CUST0090,31/01/2024,Electricity bill payment,3238.3,Bill_Payments,10:14:11,Completed
TXN508536,CUST0018,25/01/2024,E-wallet top-up,175.29,Pre-Funding,16:39:51,Completed
TXN320947,CUST0064,27/01/2024,Water bill settlement,4370.97,Bill_Payments,07:54:14,Refunded
TXN893766,CUST0048,18/02/2024,Electricity bill payment,4606.86,Bill_Payments,15:33:04,Cancelled
TXN310015,CUST0031,03/02/2024,Bank transfer to savings,1968.86,Transfers,13:41:59,Pending
TXN977972,CUST0008,23/01/2024,Water bill settlement,4088.87,Bill_Payments,03:12:59,Completed
TXN122636,CUST0070,29/01/2024,Bank transfer to savings,1598.1,Transfers,22:29:31,Pending
TXN653535,CUST0118,02/02/2024,Electricity bill payment,1107.81,Bill_Payments,21:43:07,Pending
TXN103519,CUST0193,20/02/2024,Restaurant bill payment,1868.79,Card_Payments,14:27:04,Completed
TXN657444,CUST0174,29/01/2024,Wire transfer received,1088.25,Transfers,22:54:23,Completed
TXN820132,CUST0022,16/01/2024,Salary deposit,2573.06,Pre-Funding,12:01:45,Chargeback
TXN125044,CUST0068,29/01/2024,E-wallet top-up,9911.95,Pre-Funding,04:57:23,Cancelled
TXN663953,CUST0144,09/01/2024,Electricity bill payment,2798,Bill_Payments,09:06:54,Cancelled
TXN265192,CUST0162,03/01/2024,Cash withdrawal at branch,10.3,Withdrawals,07:09:35,Completed
TXN891032,CUST0066,28/01/2024,Account pre-funding deposit,2917.23,Pre-Funding,09:52:06,Completed
TXN449323,CUST0114,19/02/2024,Salary deposit,38,Pre-Funding,16:22:18,Completed
TXN410765,CUST0034,01/02/2024,Money transfer via mobile,76.8,Transfers,11:41:24,Refunded
TXN804463,CUST0139,06/02/2024,Cash withdrawal at branch,2470.67,Withdrawals,19:31:54,Refunded
TXN989702,CUST0116,27/02/2024,POS cash withdrawal,20.51,Withdrawals,17:02:29,Completed
TXN673395,CUST0074,29/02/2024,Wire transfer received,1556.68,Transfers,03:55:44,Cancelled
TXN347983,CUST0107,27/01/2024,E-wallet top-up,3151.59,Pre-Funding,10:57:27,Completed
TXN392347,CUST0169,18/01/2024,Water bill settlement,1643.9,Bill_Payments,00:01:00,Completed
TXN324877,CUST0158,13/02/2024,Water bill settlement,16.96,Bill_Payments,16:42:39,Completed
TXN608715,CUST0141,26/01/2024,Bank transfer to savings,2017.66,Transfers,18:54:50,Completed
TXN964957,CUST0088,02/02/2024,Restaurant bill payment,3301.27,Card_Payments,19:36:03,Pending
TXN217824,CUST0163,28/01/2024,ATM withdrawal,1.5,Withdrawals,16:57:09,Completed
TXN517837,CUST0096,21/01/2024,Restaurant bill payment,4644.87,Card_Payments,12:01:07,Pending
TXN267711,CUST0199,30/01/2024,Internet subscription renewal,902.65,Bill_Payments,03:13:22,Completed
TXN522891,CUST0124,11/01/2024,Cash withdrawal at branch,3515.41,Withdrawals,21:36:36,Completed
TXN223245,CUST0048,06/01/2024,Online purchase - electronics,4837.01,Card_Payments,06:14:16,Completed
TXN703242,CUST0123,18/01/2024,Restaurant bill payment,2601.93,Card_Payments,03:14:51,Completed
TXN942918,CUST0039,16/01/2024,Account pre-funding deposit,1633.79,Pre-Funding,08:26:57,Completed
TXN136079,CUST0096,12/02/2024,Money transfer via mobile,1564.33,Transfers,06:52:44,Completed
TXN951876,CUST0053,16/01/2024,Water bill settlement,8493.9,Bill_Payments,15:44:09,Pending
TXN397659,CUST0094,29/01/2024,Salary deposit,323.19,Pre-Funding,07:39:38,Completed
TXN565189,CUST0138,29/02/2024,Online purchase - electronics,620.33,Card_Payments,20:31:31,Completed
TXN615494,CUST0053,11/02/2024,Online purchase - electronics,40.97,Card_Payments,07:00:20,Completed
TXN819092,CUST0027,04/02/2024,Bank transfer to savings,2594.11,Transfers,09:28:51,Completed
TXN553567,CUST0062,01/02/2024,Account pre-funding deposit,6557.45,Pre-Funding,22:15:27,Completed
TXN855475,CUST0067,27/01/2024,Wire transfer received,2024.72,Transfers,23:18:36,Completed
TXN368338,CUST0025,24/01/2024,Cash withdrawal at branch,3223.73,Withdrawals,11:56:47,Completed
TXN851947,CUST0030,05/01/2024,E-wallet top-up,490.61,Pre-Funding,07:56:12,Completed
TXN818467,CUST0167,19/01/2024,ATM withdrawal,3414.5,Withdrawals,13:09:55,Completed
TXN981984,CUST0148,30/01/2024,Wire transfer received,3242.57,Transfers,11:10:18,Completed
TXN649776,CUST0058,13/02/2024,Online purchase - electronics,4909.92,Card_Payments,20:22:15,Completed
TXN712728,CUST0098,18/02/2024,Bank transfer to savings,1392.17,Transfers,02:16:46,Completed
TXN322595,CUST0190,08/02/2024,Account pre-funding deposit,27.83,Pre-Funding,19:10:10,Completed
TXN174277,CUST0139,16/02/2024,Online purchase - electronics,132.44,Card_Payments,09:59:22,Completed
TXN192368,CUST0078,25/01/2024,Cash withdrawal at branch,15833.93,Withdrawals,03:32:06,Completed
TXN589834,CUST0024,19/02/2024,Grocery store card payment,27.2,Card Payments,21:23:33,Completed
TXN872826,CUST0198,26/02/2024,Salary deposit,15935.29,Pre-Funding,02:51:03,Completed
TXN212224,CUST0015,08/01/2024,Grocery store card payment,2437.18,Card_Payments,14:52:35,Pending
TXN753159,CUST0184,11/01/2024,POS cash withdrawal,4856.98,Withdrawals,00:39:21,Completed
TXN399895,CUST0192,03/02/2024,Restaurant bill payment,4057,Card_Payments,18:18:11,Completed
